File created on Friday 20th of July 2012 03:07:09 AM
Name           HD      RA            DEC           Magn
EM* MWC 1080   0       +23 17 25.6   +60 50 43.6   0.00
eta Cen        127972  +14 35 30.4   -42 09 28.2   2.32
del Cen        105435  +12 08 21.5   -50 43 20.7   2.56
alf Col        37795   +05 39 38.9   -34 04 26.8   2.60
alf Ara        158427  +17 31 50.5   -49 52 34.1   2.84
bet CMi        58715   +07 27 09.0   +08 17 21.5   2.89
zet Tau        37202   +05 37 38.7   +21 08 33.2   3.03
ome Car        89080   +10 13 44.2   -70 02 16.5   3.30
mu Cen         120324  +13 49 37.0   -42 28 25.4   3.46
kap CMa        50013   +06 49 50.5   -32 30 30.5   3.52
kap Lup        134481  +15 11 56.1   -48 44 16.1   3.85
ome CMa        56139   +07 14 48.7   -26 46 21.6   4.03
phi Per        10516   +01 43 39.6   +50 41 19.4   4.09
nu Gem         45542   +06 28 57.8   +20 12 43.7   4.14
lam Pav        173948  +18 52 13.0   -62 11 15.3   4.21
mu Lup         135734  +15 18 32.0   -47 52 31.0   4.27
bet Scl        221507  +23 32 58.3   -37 49 05.8   4.37
eps Tuc        224686  +23 59 55.0   -65 34 37.7   4.49
omi Pup        63462   +07 48 05.2   -25 56 13.8   4.50
gam Cir        136415  +15 23 22.6   -59 19 14.8   4.51
d Lup          138769  +15 35 53.2   -44 57 30.2   4.54
lam Cyg        198183  +20 47 24.5   +36 29 26.6   4.56
lam Cru        112078  +12 54 39.2   -59 08 48.1   4.60
27 CMa         56014   +07 14 15.2   -26 21 09.0   4.65
E Car          78764   +09 05 38.4   -70 32 18.6   4.65
NV Pup         57150   +07 18 18.4   -36 44 02.3   4.70
39 Cru         110335  +12 41 56.6   -59 41 08.9   4.92
V795 Cen       124367  +14 14 57.1   -57 05 10.1   5.04
PLEIONE        23862   +03 49 11.2   +24 08 12.2   5.05
eps Aps        124771  +14 22 23.2   -80 06 32.2   5.05
NW Pup         57219   +07 18 38.2   -36 44 33.8   5.09
tet Cir        131492  +14 56 44.0   -62 46 51.7   5.11
mu02 Cru       112091  +12 54 36.9   -57 10 07.2   5.11
HD 71510       71510   +08 25 31.3   -51 43 38.7   5.16
10 CMa         48917   +06 44 28.5   -31 04 13.9   5.22
HD 93563       93563   +10 46 57.5   -56 45 25.9   5.23
BZ Cru         110432  +12 42 50.3   -63 03 31.0   5.32
V1040 Sco      142184  +15 53 55.9   -23 58 41.1   5.40
z Pup          60606   +07 33 51.0   -36 20 18.2   5.41
NO CMa         58155   +07 23 00.7   -31 55 25.6   5.43
kap01 Aps      137387  +15 31 30.8   -73 23 22.5   5.49
V817 Cen       105521  +12 08 54.6   -41 13 53.8   5.51
HD 44506       44506   +06 20 36.2   -34 08 38.9   5.53
HD 22780       22780   +03 41 07.9   +37 34 48.7   5.54
FY CMa         58978   +07 26 59.5   -23 05 09.7   5.61
mu Pic         46860   +06 31 58.3   -58 45 13.8   5.71
HD 135160      135160  +15 16 36.7   -60 54 14.4   5.73
IY CMa         45871   +06 28 39.2   -32 22 16.6   5.74
HZ CMa         50123   +06 50 23.3   -31 42 21.8   5.74
QY Car         88661   +10 11 46.5   -58 03 38.0   5.76
56 Eri         30076   +04 44 05.3   -08 30 12.9   5.78
HP CMa         49131   +06 45 31.2   -30 56 56.3   5.80
V374 Car       66194   +07 58 50.6   -60 49 28.1   5.81
HD 72067       72067   +08 29 07.6   -44 09 37.5   5.83
V767 Cen       120991  +13 53 57.2   -47 07 41.4   5.83
HD 42054       42054   +06 07 03.7   -34 18 43.3   5.84
V392 Pup       63215   +07 46 10.5   -37 56 01.2   5.87
CO Cir         129954  +14 48 44.5   -66 35 36.8   5.88
HD 149671      149671  +16 41 23.1   -68 17 46.0   5.88
HD 79621       79621   +09 13 34.5   -47 20 18.3   5.91
105 Tau        32991   +05 07 55.4   +21 42 17.4   5.92
UU PsA         209522  +22 04 36.8   -26 49 20.5   5.95
LS Mus         113120  +13 03 05.3   -71 28 32.6   5.96
DR Cha         93237   +10 41 51.5   -79 46 59.8   5.97
V862 Ara       158220  +17 31 23.3   -56 55 15.5   5.99
V468 Pup       61925   +07 39 58.0   -37 34 45.8   6.00
IU Vel         77320   +09 00 22.3   -43 10 26.4   6.05
V716 Cen       124195  +14 13 39.8   -54 37 32.3   6.09
HD 81753       81753   +09 26 44.9   -28 47 15.7   6.10
[SC96] Mis 379 0       +17 18 24.0   -32 32 60.0   6.12
V339 Pup       49336   +06 46 12.1   -37 46 31.2   6.19
HD 87543       87543   +10 03 34.1   -61 53 02.5   6.20
HD 75081       75081   +08 46 23.8   -41 07 31.4   6.21
V828 Ara       153261  +17 01 47.4   -58 57 29.7   6.26
29 Dor         37935   +05 36 55.0   -66 33 37.0   6.28
HD 68423       68423   +08 08 24.6   -63 48 03.0   6.31
V846 Ara       152478  +16 56 08.8   -50 40 29.2   6.33
PQ Pup         67888   +08 08 37.6   -37 40 52.4   6.35
V1077 Sco      156325  +17 18 20.5   -32 33 11.2   6.37
HD 124639      124639  +14 24 22.1   -82 50 53.7   6.42
V507 Car       90966   +10 28 18.3   -63 09 52.4   6.43
