n°HD  RA_h RA_m RA_s  DEC_d DEC_m DEC_s  Mv
---
3  0 5 09.9  45 13 45  6.70
6  0 5 03.8  0 30 11  6.29
6  11 30 29.0  18 24 35  5.52
28  0 5 20.1  -5 42 27  4.61
29  11 31 24.2  69 19 52  3.84
30  11 30 52.9  47 55 45  6.42
39  20 54 44.3  75 55 32  6.05
55  11 31 10.2  48 47 21  6.56
87  0 5 42.0  13 23 46  5.51
112  21 2 12.6  -43 0 7  6.64
120  20 59 49.6  47 31 16  4.74
123  0 6 16.0  58 26 12  5.96
142  0 6 19.0  -49 4 30  5.70
144  0 6 26.5  64 11 46  5.59
166  0 6 36.8  29 1 17  6.13
180  11 31 44.9  14 21 52  6.20
203  0 6 50.1  -23 6 27  6.18
203  11 32 20.8  61 4 57  5.48
205  20 59 25.4  59 26 19  5.51
253  21 1 12.9  36 1 34  5.97
256  0 7 18.2  -17 23 11  6.19
310  21 1 10.9  46 9 21  5.37
315  0 7 44.1  -2 32 56  6.43
319  0 7 46.8  -22 30 32  5.94
344  0 8 03.5  -33 31 46  5.68
352  0 8 12.1  -2 26 52  6.07
358  0 8 23.3  29 5 26  2.06
360  0 8 17.4  -8 49 26  5.99
400  0 8 41.0  36 37 36  6.19
402  0 8 33.4  -17 34 39  6.06
417  0 8 52.2  25 27 46  6.23
431  0 9 20.2  79 42 53  6.01
432  0 9 10.7  59 8 59  2.27
441  21 0 27.7  19 19 46  5.65
448  0 9 02.4  18 12 43  5.53
469  0 9 02.4  -54 0 7  6.33
470  11 33 56.3  36 48 56  6.40
493  0 9 21.0  -27 59 16  5.42
496  0 9 24.7  -45 44 51  3.88
518  11 34 10.0  11 1 25  6.55
521  21 1 45.3  -26 52 52  6.05
527  21 2 24.1  44 47 28  6.19
560  0 10 02.3  11 8 44  5.51
571  0 10 19.3  46 4 20  5.03
577  21 3 04.8  38 39 27  6.07
584  0 10 29.7  57 9 56  6.74
587  0 10 18.8  -5 14 55  5.84
595  21 2 48.5  45 50 56  6.48
600  11 34 42.5  16 47 49  5.95
614  21 2 09.1  56 40 11  5.83
615  11 35 04.9  54 47 7  5.63
636  0 10 02.1  -82 13 26  5.28
645  0 10 42.8  -12 34 48  5.85
655  11 35 03.8  20 26 29  6.45
661  0 10 38.6  -73 13 28  6.64
693  0 11 15.9  -15 28 5  4.89
696  11 36 02.8  69 19 22  5.20
720  0 11 34.4  -27 47 59  5.41
723  21 3 52.1  41 37 41  6.33
732  21 2 27.2  -38 31 50  5.94
739  0 11 44.0  -35 7 59  5.25
740  11 35 43.4  10 54 40  6.56
740  21 3 26.0  50 21 7  6.37
743  0 11 59.1  48 9 9  6.16
753  21 3 43.3  46 51 43  6.32
787  0 12 10.0  -17 56 18  5.25
808  11 36 17.9  27 46 52  5.80
817  21 3 47.6  53 17 10  5.90
829  0 12 50.4  37 41 36  6.73
886  0 13 14.2  15 11 1  2.83
895  0 13 24.0  26 59 14  6.30
905  0 13 30.8  41 2 7  5.72
905  21 4 55.9  43 55 40  3.72
942  0 13 42.1  -26 1 19  5.94
943  0 13 44.2  -26 17 5  6.31
952  0 14 02.3  33 12 22  6.25
1013  0 14 36.2  20 12 24  4.80
1013  11 37 53.0  50 37 6  6.14
1014  0 14 27.6  -7 46 50  5.12
1032  0 13 19.4  -84 59 39  5.77
1038  0 14 38.4  -18 55 58  4.44
1048  0 14 56.1  22 17 3  6.24
1051  21 6 23.5  26 55 28  6.12
1061  0 14 58.8  8 49 15  5.79
1064  0 14 54.5  -9 34 11  5.75
1075  0 15 07.0  31 32 9  6.45
1078  21 6 30.3  31 11 5  5.82
1083  0 15 10.6  27 16 59  6.35
1089  0 14 58.2  -34 54 16  6.17
1091  21 6 54.6  38 44 45  5.21
1092  21 6 55.3  38 44 36  6.03
1107  11 38 20.6  43 37 32  5.59
1133  11 38 33.5  46 50 3  6.10
1141  0 16 14.0  76 57 3  6.35
1150  11 38 49.2  64 20 49  6.46
1151  11 38 32.2  33 37 32  6.27
1177  11 38 44.9  45 6 31  6.44
1185  0 16 21.6  43 35 41  6.15
1187  0 16 08.9  -31 26 47  5.67
1221  0 15 55.2  -75 54 41  6.49
1227  0 16 34.1  8 14 24  6.11
1239  0 16 57.1  61 32 0  5.74
1251  21 6 36.1  47 38 54  4.55
1256  0 16 42.5  -20 12 38  6.47
1279  0 17 09.1  47 56 51  5.89
1280  0 17 05.5  38 40 54  4.61
1324  0 16 49.0  -78 46 50  6.77
1337  0 17 43.0  51 25 59  6.14
1343  0 17 32.6  -19 3 4  6.45
1367  0 17 47.7  1 41 20  6.17
1391  11 40 27.4  57 58 14  6.37
1404  0 18 19.7  36 47 7  4.52
1419  0 18 17.2  11 12 21  6.05
1433  21 8 38.9  30 12 21  5.59
1438  0 18 42.1  43 47 28  6.11
1439  0 18 38.3  31 31 2  5.87
1461  0 18 41.8  -8 3 10  6.46
1483  0 18 42.6  -43 14 7  6.33
1484  11 40 47.1  21 21 10  5.26
1501  11 41 03.0  34 12 6  5.33
1522  0 19 25.7  -8 49 26  3.56
1527  0 19 41.6  40 43 47  6.33
1561  0 20 05.2  48 51 55  6.52
1581  0 20 04.3  -64 52 29  4.23
1604  11 41 43.6  55 10 21  6.27
1606  0 20 24.4  30 56 9  5.90
1606  11 41 34.3  31 44 46  5.73
1632  0 20 45.5  32 54 41  5.79
1632  21 2 58.0  -38 37 54  5.30
1635  0 20 35.9  8 11 25  5.37
1636  21 6 23.3  71 25 55  5.87
1663  0 20 54.5  10 58 37  6.56
1671  0 21 07.3  37 58 7  5.18
1671  21 10 32.0  22 27 17  6.68
1673  11 42 28.4  66 44 42  5.30
1685  0 20 39.0  -69 37 30  5.51
1688  11 42 05.2  22 12 39  6.59
1733  21 9 58.6  45 30 9  6.63
1737  0 21 31.2  -28 58 54  5.18
