#
# VizieR Astronomical Server: http://vizier.u-strasbg.fr 2006-11-17T21:24:24
# Explanations and Statistics of UCDs: See LINK below
# In case of problem, please report to: question@simbad.u-strasbg.fr
# (link)
#
#Coosys J2000: eq_FK5 2000
#INFO -ref=Vxml2846

#RESOURCE=1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#Table I_239_hip_main:
#Name: I/239/hip_main
#Title: The Hipparcos Main Catalogue\vizContent{timeSerie}
#Coosys J2000_1991.250: eq_FK5 2000_1991.250
#Column HIP (I6) Identifier (HIP number) (H1) [ucd=meta.id;meta.main]
#Column _RAJ2000 (F10.6) Right ascension (FK5) Equinox=J2000.0 Epoch=J2000.000, proper motions taken into account (computed by VizieR, not part of the original data) [ucd=pos.eq.ra;meta.main]
#Column _DEJ2000 (F10.6) Declination (FK5) Equinox=J2000.0 Epoch=J2000.000, proper motions taken into account (computed by VizieR, not part of the original data) [ucd=pos.eq.dec;meta.main]
#Column Vmag (F5.2) ? Magnitude in Johnson V (H5)
#---List of values: [ucd=phot.mag;em.opt.V]
#Column B-V (F6.3) ? Johnson B-V colour (H37)
#---List of values: [ucd=phot.color;em.opt.B;em.opt.V]
#Column pmRA (F8.2) Proper motion mu_alpha.cos(delta), ICRS(H12) {\em(for J1991.25 epoch)}
#---List of values: [ucd=pos.pm.ra]
#Column pmDE (F8.2) ? Proper motion mu_delta, ICRS (H13) {\em(for J1991.25 epoch)}
#---List of values: [ucd=pos.pm.dec]
#Column Plx (F7.2) ? Trigonometric parallax (H11)
#---List of values: [ucd=pos.parallax.trig]
#HIP;_RAJ2000;_DEJ2000;Vmag;B-V;pmRA;pmDE;Plx
#;deg;deg;mag;mag;mas/yr;mas/yr;mas
#------;----------;----------;-----;------;--------;--------;-------
   154;  0.490079; -6.014072; 4.37; 1.631;   46.62;  -41.32;   7.86
   301;  0.934958;-17.335988; 4.55;-0.047;   28.57;   -7.28;  14.31
   443;  1.333920; -5.707618; 4.61; 1.029;   -8.29;   88.19;  25.38
   677;  2.096911; 29.090432; 2.07;-0.038;  135.68; -162.95;  33.60
   746;  2.294521; 59.149780; 2.28; 0.380;  523.39; -180.42;  59.89
   765;  2.352675;-45.747426; 3.88; 1.013;  122.15; -180.13;  23.28
  1067;  3.308970; 15.183596; 2.83;-0.190;    4.70;   -8.24;   9.79
  1168;  3.650685; 20.206702; 4.79; 1.572;   90.66;    1.88;  10.01
  1170;  3.660067;-18.932866; 4.44; 1.640;  -27.15;  -73.78;   6.62
  1366;  4.272909; 38.681636; 4.61; 0.059;  -50.01;  -17.90;  12.88
  1473;  4.581904; 36.785224; 4.51; 0.054;  -66.51;  -42.48;  23.11
  1562;  4.856977; -8.823921; 3.56; 1.214;  -14.37;  -37.84;  11.26
  2072;  6.550841;-43.679830; 3.93; 0.175;  106.14;   32.83;  42.51
  2081;  6.571046;-42.305982; 2.40; 1.083;  232.76; -353.64;  42.14
  2472;  7.854086;-48.803514; 4.76; 0.018;  140.74;   19.47;  18.97
  2505;  7.943162; 54.522289; 4.74;-0.098;   40.78;  -14.81;   9.20
  2912;  9.220207; 33.719344; 4.34;-0.123;   15.23;   -3.56;   4.97
  2920;  9.242853; 53.896909; 3.69;-0.196;   17.77;   -9.15;   5.46
  3031;  9.638941; 29.311751; 4.34; 0.871; -229.41; -254.08;  19.34
  3092;  9.831982; 30.861024; 3.27; 1.268;  115.38;  -83.05;  32.19
  3179; 10.126835; 56.537331; 2.24; 1.170;   50.36;  -32.17;  14.27
