#
# VizieR Astronomical Server: webviz.u-strasbg.fr 2008-12-02T09:22:15
# (replaces the 'Astrores' format originally described at
# http://vizier.u-strasbg.fr/doc/astrores.htx)
# In case of problem, please report to: question@simbad.u-strasbg.fr
#
##Coosys J2000: eq_FK5 J2000
#INFO -ref=VOTx30785
#INFO -out.max=50000
#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#Coosys J2000_1991.250: eq_FK5 J2000
#Table I_239_hip_main:
#Name: I/239/hip_main
#Title: The Hipparcos Main Catalogue\vizContent{timeSerie}
#Column HIP (I6) Identifier (HIP number) (H1) [ucd=meta.id;meta.main]
#Column _RAJ2000 (F10.6) Right ascension (FK5) Equinox=J2000.0 Epoch=J2000.000, proper motions taken into account (computed by VizieR, not part of the original data) [ucd=pos.eq.ra;meta.main]
#Column _DEJ2000 (F10.6) Declination (FK5) Equinox=J2000.0 Epoch=J2000.000, proper motions taken into account (computed by VizieR, not part of the original data) [ucd=pos.eq.dec;meta.main]
#Column RA(ICRS) (F12.8) *? alpha, degrees (ICRS, Epoch=J1991.25) (H8) [ucd=pos.eq.ra;meta.main]
#Column DE(ICRS) (F12.8) *? delta, degrees (ICRS, Epoch=J1991.25) (H9) [ucd=pos.eq.dec;meta.main]
#Column Vmag (F5.2) ? Magnitude in Johnson V (H5) [ucd=phot.mag;em.opt.V]
#Column B-V  (F6.3) ? Johnson B-V colour (H37) [ucd=phot.color;em.opt.B;em.opt.V]
#Column pmRA (F8.2) Proper motion mu_alpha.cos(delta), ICRS(H12) {\em(for J1991.25 epoch)} [ucd=pos.pm;pos.eq.ra]
#Column pmDE (F8.2) ? Proper motion mu_delta, ICRS (H13) {\em(for J1991.25 epoch)} [ucd=pos.pm;pos.eq.dec]
#Column Plx  (F7.2) ? Trigonometric parallax (H11) [ucd=pos.parallax.trig]
# HIP;_RAJ2000;_DEJ2000;RA(ICRS);DE(ICRS);Vmag;B-V;pmRA;pmDE;Plx
# ;deg;deg;deg;deg;mag;mag;mas/yr;mas/yr;mas
#------;----------;----------;------------;------------;-----;------;--------;--------;-------
   154;  0.490079; -6.014072;  0.48996506; -6.01397169; 4.37; 1.631;   46.62;  -41.32;   7.86
   301;  0.934958;-17.335988;  0.93488487;-17.33597002; 4.55;-0.047;   28.57;   -7.28;  14.31
   355;  1.125494;-10.509523;  1.12550980;-10.50949443; 4.99; 1.619;   -6.49;  -11.88;   2.03
   443;  1.333920; -5.707618;  1.33394073; -5.70783255; 4.61; 1.029;   -8.29;   88.19;  25.38
   677;  2.096911; 29.090432;  2.09653333; 29.09082805; 2.07;-0.038;  135.68; -162.95;  33.60
   746;  2.294521; 59.149780;  2.29204036; 59.15021814; 2.28; 0.380;  523.39; -180.42;  59.89
   765;  2.352675;-45.747426;  2.35224949;-45.74698836; 3.88; 1.013;  122.15; -180.13;  23.28
   910;  2.816072;-15.467977;  2.81628415;-15.46732287; 4.89; 0.487;  -84.20; -269.31;  52.94
  1067;  3.308970; 15.183596;  3.30895828; 15.18361593; 2.83;-0.190;    4.70;   -8.24;   9.79
  1168;  3.650685; 20.206702;  3.65045047; 20.20669720; 4.79; 1.572;   90.66;    1.88;  10.01
  1170;  3.660067;-18.932866;  3.66013628;-18.93268628; 4.44; 1.640;  -27.15;  -73.78;   6.62
  1366;  4.272909; 38.681636;  4.27306518; 38.68167915; 4.61; 0.059;  -50.01;  -17.90;  12.88
  1473;  4.581904; 36.785224;  4.58210555; 36.78532730; 4.51; 0.054;  -66.51;  -42.48;  23.11
  1562;  4.856977; -8.823921;  4.85701265; -8.82382948; 3.56; 1.214;  -14.37;  -37.84;  11.26
  1599;  5.017751;-64.874790;  5.00797581;-64.87762320; 4.23; 0.576; 1707.56; 1165.36; 116.38
  2072;  6.550841;-43.679830;  6.55048418;-43.67990933; 3.93; 0.175;  106.14;   32.83;  42.51
  2081;  6.571046;-42.305982;  6.57028075;-42.30512197; 2.40; 1.083;  232.76; -353.64;  42.14
  2210;  6.982077;-33.007167;  6.98213606;-33.00704460; 4.86; 1.634;  -20.48;  -50.39;   5.95
  2472;  7.854086;-48.803514;  7.85356695;-48.80356171; 4.76; 0.018;  140.74;   19.47;  18.97
  2484;  7.886111;-62.958218;  7.88566992;-62.95808549; 4.36;-0.064;   82.48;  -54.37;  23.35
  2487;  7.889450;-62.965561;  7.88898014;-62.96544985; 4.53; 0.147;   87.95;  -45.79;  18.95
  2505;  7.943162; 54.522289;  7.94299136; 54.52232473; 4.74;-0.098;   40.78;  -14.81;   9.20
  2599;  8.249965; 62.931783;  8.24994391; 62.93178781; 4.17; 0.130;    3.99;   -2.10;   0.79
  2912;  9.220207; 33.719344;  9.22016239; 33.71935227; 4.34;-0.123;   15.23;   -3.56;   4.97
  2920;  9.242853; 53.896909;  9.24277921; 53.89693161; 3.69;-0.196;   17.77;   -9.15;   5.46
  3031;  9.638941; 29.311751;  9.63958024; 29.31236900; 4.34; 0.871; -229.41; -254.08;  19.34
  3092;  9.831982; 30.861024;  9.83165567; 30.86122579; 3.27; 1.268;  115.38;  -83.05;  32.19
  3179; 10.126835; 56.537331; 10.12661349; 56.53740928; 2.24; 1.170;   50.36;  -32.17;  14.27
  3245; 10.331465;-46.085007; 10.33156671;-46.08500934; 4.59; 0.953;  -28.92;    1.04;  13.19
  3300; 10.516231; 50.512526; 10.51618425; 50.51254151; 4.80;-0.105;   12.32;   -6.48;   2.94
  3405; 10.838494;-57.463060; 10.83851683;-57.46309763; 4.36; 0.024;   -5.16;   15.50;  13.57
  3414; 10.866957; 47.024546; 10.86704470; 47.02463657; 4.95; 0.170;  -24.52;  -37.16;  18.71
  3419; 10.897379;-17.986605; 10.89678452;-17.98668410; 2.04; 1.019;  232.79;   32.71;  34.04
  3455; 11.047506;-10.609550; 11.04752272;-10.60927365; 4.77; 0.998;   -6.96; -113.88;  15.54
  3504; 11.181324; 48.284364; 11.18125882; 48.28438262; 4.48;-0.069;   17.79;   -7.62;   3.60
  3693; 11.834689; 24.267178; 11.83495908; 24.26737703; 4.08; 1.100; -101.23;  -81.89;  17.98
  3786; 12.170601;  7.585079; 12.17039736;  7.58520186; 4.44; 1.500;   83.14;  -50.48;  10.69
  3801; 12.208422; 50.968168; 12.20830552; 50.96819154; 4.90;-0.091;   30.28;   -9.82;   8.37
  3821; 12.276213; 57.815187; 12.27125262; 57.81654770; 3.46; 0.587; 1087.11; -559.65; 167.99
  3881; 12.453530; 41.078911; 12.45345723; 41.07895474; 4.53;-0.136;   22.68;  -18.05;   4.80
  4147; 13.252060; -1.144260; 13.25204382; -1.14422060; 4.78; 1.550;    6.49;  -16.29;   6.28
  4151; 13.267486; 61.123970; 13.26783051; 61.12355735; 4.80; 0.540;  -68.45;  169.72;  53.85
  4292; 13.750652; 58.972698; 13.75080422; 58.97279657; 4.83; 1.216;  -32.24;  -40.69;   8.02
  4422; 14.166271; 59.181056; 14.16671042; 59.18116582; 4.62; 0.957;  -92.56;  -45.33;  15.84
  4427; 14.177216; 60.716740; 14.17708808; 60.71674966; 2.15;-0.046;   25.65;   -3.82;   5.32
  4436; 14.188381; 38.499345; 14.18790699; 38.49925513; 3.86; 0.130;  152.78;   36.82;  23.93
  4463; 14.301667; 23.417648; 14.30178237; 23.41775997; 4.40; 0.940;  -43.72;  -46.06;  13.44
  4577; 14.651504;-29.357449; 14.65144118;-29.35746436; 4.30;-0.154;   22.44;    6.30;   4.85
  4906; 15.735868;  7.890135; 15.73606615;  7.89007256; 4.27; 0.952;  -80.57;   25.88;  17.14
  5165; 16.521028;-46.718414; 16.52127713;-46.71849042; 3.32; 0.885;  -70.16;   31.60;  16.46
  5348; 17.096174;-55.245760; 17.09608370;-55.24583235; 3.94;-0.120;   21.17;   29.70;  11.66
  5364; 17.147465;-10.182264; 17.14693197;-10.18192800; 3.46; 1.161;  215.81; -138.33;  27.73
