00005   0.2  0.0  0.0 11.0 v   0.12
00011   0.5  0.0  0.0  9.0 v   0.38
00012   1.2  0.5  0.0  8.0 v   0.52
00016   1.2  0.5  0.0  8.5 v   0.23
00020   2.5  0.5  0.0  8.5 v   0.70
00022   0.8  0.8  0.0  9.0 v   0.49
00029   0.5  1.1  0.0  9.0 v   0.90
00045   0.9  0.0  0.0  7.5 v   0.44
00047   4.8  1.4  0.0  6.5 v   3.40
00059   4.8  1.4  0.0  6.0 v   4.50
00060   0.8  0.0  0.0  8.0 v   0.46
00118   2.0  2.0  0.0  6.0 v   1.80
00163   9.0  1.5  0.0  5.0 v   8.00
00192   9.0  1.5  0.0  6.5 v  11.00
00202   0.8  1.1  0.0  9.5 v   2.10
00204   4.8  1.4  0.0  7.0 v   3.30
00271   9.0  1.5  0.0  6.0 v  10.00
00340   0.9  0.0  0.0  8.5 v   0.48
00424   0.9  1.1  0.0  7.0 v   1.50
00426   6.0  1.5  0.0  6.0 v   7.90
00447   4.8  1.4  0.0  6.0 v   4.70
00574   9.0  1.5  0.0  5.0 v  13.00
00622   9.0  1.5  0.0  5.0 v   9.40
00669   4.8  1.4  0.0  6.5 v   4.10
00671   2.5  0.0  0.0  8.0 v   1.70
00694   8.6  3.0  0.0  3.5 v  12.00
00703   4.8  1.4  0.0  7.0 v   4.60
00727   6.0  1.5  0.0  6.0 v   7.80
00733   8.0  1.5  0.0  5.0 v   5.50
00741   6.0  1.5  0.0  6.0 v   5.70
00746   1.2  0.8  0.0  6.5 v   3.10
00801   1.5  0.5  0.0  8.5 v   1.30
00809   0.3  0.5  0.0  9.5 v   0.34
00815   8.0  1.5  0.0  7.0 v   5.80
00829   1.2  0.8  0.0  6.5 v   3.00
00876   3.0  1.5  0.0  5.0 v   4.60
00877   3.8  2.6  0.0  5.0 v   6.20
00893   4.8  1.4  0.0  6.5 v   4.70
00953   4.8  1.4  0.0  7.0 v   4.00
01000   2.6  0.0  0.0  6.0 v   3.10
01001   6.0  3.0  0.0  5.0 v  11.00
01245   6.0  1.5  0.0  6.0 v   5.90
01314  11.6  1.5  0.0  5.5 v   5.80
01316   1.3  0.0  0.0  7.5 v   1.10
01359   6.0  3.0  0.0  5.0 v  16.00
01389   1.1  0.0  0.0  7.5 v   0.72
01428   4.8  1.4  0.0  7.0 v   3.90
01510   1.3  1.0  0.0  9.0 v   2.50
01575   6.0  2.4  0.0  5.5 v   5.90
01589   6.0  2.4  0.0  6.0 v   5.60
01613   1.0  0.5  0.0  8.5 v   0.51
01616   2.0  0.7  0.0  8.0 v   1.10
01642   2.0  0.0  0.0  7.0 v   2.70
01646   1.7  0.0  0.0  7.0 v   1.70
01668   2.0  2.0  0.0  7.5 v   3.70
01680   2.0  0.0  0.0  7.5 v   2.70
01684   1.4  0.0  0.0  8.0 v   1.30
01716   2.0  0.0  0.0  8.0 v   2.10
01804   0.9  1.1  0.0  8.5 v   1.00
01807   4.0  1.5  0.0  5.5 v   4.40
01982   0.6  1.1  0.0  7.5 v   0.73
02121   1.0  0.5  0.0  8.5 v   0.53
02122   1.2  0.7  0.0  8.5 v   1.20
02123   2.0  0.7  0.0  8.0 v   1.10
02124   2.0  0.7  0.0  8.0 v   1.20
02142   3.0  2.2  0.0  6.0 v  10.00
02144   6.0  1.5  0.0  6.0 v   6.70
02173   3.0  1.5  0.0  6.5 v   2.10
02174   5.0  1.5  0.0  5.5 v   4.80
02253   2.8  0.0  0.0  6.5 v   2.00
02255   5.0  1.5  0.0  5.0 v   7.60
02328   1.5  0.7  0.0  8.5 v   1.00
02403   8.0  1.5  0.0  5.0 v  10.00
02422   1.3  0.9  0.0  7.0 v   1.90
02481   8.0  1.5  0.0  4.5 v  21.00
02741   1.3  0.9  0.0  8.5 v   1.90
02801   1.4  2.0  0.0  7.0 v   2.30
02802   6.0  2.4  0.0  5.5 v   4.80
02825   5.0  1.5  0.0  5.5 v   5.50
02826   0.5  0.0  0.0  8.0 v   0.40
03047   1.4  2.0  0.0  6.0 v   2.80
03048   4.0  2.0  0.0  6.5 v   4.80
03081   2.0  1.5  0.0  7.0 v   2.30
03129   2.0  2.0  0.0  6.0 v   3.10
03131   4.0  2.0  0.0  6.5 v   5.50
03158   2.0  2.0  0.0  7.5 v   2.20
03229   1.4  2.0  0.0  7.5 v   3.80
03230   4.0  2.0  0.0  6.0 v   4.60
03271   2.0  0.9  0.0  7.5 v   1.80
03307   5.8  0.0  0.0  5.0 v  13.00
03504   3.0  0.0  0.0  7.0 v   4.80
03530   2.5  0.0  0.0  7.5 v   4.70
03577   4.0  2.0  0.0  7.0 v   4.80
03597   3.0  2.2  0.0  6.5 v   2.70
03598   8.6  3.0  0.0  5.0 v  14.00
03615   0.5  1.1  0.0  8.4 d   0.84
03616   4.9  1.4  0.0  6.5 v   5.60
03669   1.1  1.3  0.0  9.0 v   2.30
03819   4.0  2.0  0.0  6.5 v   5.40
03835   5.0  1.5  0.0  6.0 v   4.70
03890   3.0  1.5  0.0  8.0 v   2.80
03892   6.0  1.5  0.0  6.0 v   6.60
04070   2.0  1.0  0.0  7.5 v   2.40
04071   4.0  2.0  0.0  5.5 v   4.60
04138   2.0  1.0  0.0  6.5 v   2.00
04139   4.0  2.0  0.0  5.5 v   4.50
04159   5.0  1.5  0.0  5.0 v   4.70
04216   2.0  1.5  0.0  7.0 v   3.10
04254   1.6  0.0  0.0  5.5 v   3.70
04255   6.0  2.4  0.0  7.5 v   5.40
04322   4.9  1.4  0.0  5.0 v   5.80
04327   7.6  1.5  0.0  6.5 v   5.20
04362   3.0  1.5  0.0  6.9 d   3.20
04369   2.0  1.0  0.0  7.5 v   3.60
04370   6.0  2.4  0.0  5.5 v   4.70
04391   6.0  2.4  0.0  7.5 v   5.90
04394   2.8  2.6  0.0  5.0 v   7.30
04419   5.0  1.5  0.0  6.5 v   4.60
04420   2.8  2.6  0.0  5.5 v   8.20
04564   2.0  2.0  0.0  7.0 v   2.70
04578   2.0  1.0  0.0  7.0 v   2.80
04579   6.0  2.4  0.0  5.0 v   4.90
04588   2.0  1.0  0.0  8.0 v   3.70
04589   6.0  2.4  0.0  5.5 v   4.70
04597   8.0  2.5  0.0  6.5 v   5.50
04598   4.0  2.0  0.0  6.5 v   6.00
04603   3.1  0.0  0.0  7.0 v   5.60
